|17
annoying man talks to camera|1
teaching about serenity|1
wind|2
school talk|1
everybody is clappin|1
walking|397
opening birthday present|1
japanese parade|2
bright|3
girls moving arms|1
sitting on the floor|1
light decoration|1
kids performing a musical song on stage|1
robe|7
sponge bob|2
dancing w the stars|1
little kid singing happy birthday|1
marching kids|1
kicking feet|1
waiters singing|1
skyline|1
cake and candle|1
clapping for birthday cake|1
happy birthday party|2
parade of firetrucks|2
woman speaking on podium|1
athletic center|1
party hats|4
baby eating cupcakes at birthday party|1
red stripes|1
teacup|1
school gym|1
walking with flags|1
bright spotlight|1
screen|24
kids on bus|1
awards|67
birthday song|100
family celebrate kids birthday|1
many|1
best wishes|2
half naked people wave from fire trucks in a parade|1
s|1
kids birthday celebration|1
girl opening gifts|1
young people laughing|1
kids having circle time at school|1
graduates walking on stage|1
happpy birthday|1
night display|1
they individually approach a man|1
boat|13
caring|1
raceway car track stands|1
dance and music|1
music band performing|1
teddy|1
stretch|1
boy dribbling basketball|1
coughing|1
photos|14
soccer teams|1
mickey & minnie|1
dress parade|2
spanking|1
light candle|1
school concert|1
kids sing happy birthday|3
selling goods|1
exit sign|1
birthday cake with lit candles|1
child hiding from mom|1
illiminating lights|1
roast chickens|1
disney characters take part in a parade|1
balloon with happy birthday written on it|1
wires|1
singing boy|1
cheers|10
advertisement|1
dress up|4
lots of people watching lots of people walking with parade marchers|1
baby plays with a giant balloon|1
monster mash|1
a street parade passes|1
tree sky people band uniform tuba drum pavement|1
children themed float|1
kid games|1
sitting in a circle|1
playing musical instruments|1
big truck|2
graduate announcements|2
floats in parade|3
canciones|1
people yelling|1
instrument|2
opening envelope|4
plumes|1
friends and family|1
constumes|1
blowing up baloons|1
man playing organ|1
bunch of kids|1
two boys try to perform happy birthday|1
dark|36
traffic|3
dare|4
children in gowns|1
fotball|1
shirtless men|1
graduation ceremony in a stadium|1
clap|6
auditorium|41
kids in masks|1
kids parading wearing masks|1
driving along a road|1
people laughing and talking|1
bongos|1
cap gown students|1
adult laughing|1
people performing on floats|1
gtaduation|3
tuba|3
students line up for graduation|1
baby opening presents|2
exit|2
mickey mouse in a parade|1
costumes/uniforms|1
trombones|1
a girl opens presents|1
transformers|1
soccer game|27
microhone|1
teachers walking|1
people gathered|2
child sampling cake|1
frozen characters|1
handing out candies|1
package|1
social occasion|1
happy new year parade float|1
act|6
gradusation|1
burning|1
christmas light|1
baby eats cake with her hands|2
kids lining up|1
candles on cake are lit|1
audience watching procession|1
disney characterss|1
school funtion|1
each of the 6 girls saying a birthday greeting to their friend on video|1
maybe kindergarten students|1
monsters inc|4
mice|2
clappin g|1
new year|8
people walking down street|1
tambourines|1
party hat|4
birthday cake with candle|1
birthfday|1
crown parade|1
grduation|1
graduation speech given by a valedictorian|1
ball game|1
kids fancy dress parade halloween|1
street disney|1
nutcracker|2
graduate|53
small kids get certificates at sporting event.|1
puppy|1
motorcyclists|1
ceromy|1
kids reading|1
christmas tree float|1
chorale|1
family and friends in the audience|1
young men|1
lantern festival|1
emergency vehicles|1
baby in walker|1
cap gown wall banner students|1
mask|12
mass|1
foreign language|2
clapping and waiting|1
kids signing|2
firemens street parade|1
little girls soccer game|1
baby sining happy birthday|1
bag pipes|4
tinsel|1
tv|5
dressing|1
smile|5
mortar boards|4
lots of niose|1
happy dance|2
they appear confused on the game|1
dogs birthday party|1
puzzles|1
giant baseballs|2
kids waiting for graduation|1
a woman playing guitar and singing happy birthday with children|1
christmas time|2
disney nighttime parade|2
sand|7
swirling|2
people singing on microphone|1
elementary graduation|3
fast food|1
men and women awaiting commencement of graduation ceromony|1
street parade at night|1
matching band (this one time at band camp)|1
graduation award ceremony|3
cheer leaders|2
birthday present|7
leis|6
family walk by|1
nurse|3
lights animal balloon pooh mushroom|1
my birthday|1
wooden nutcrackers|1
dare event|1
birthday occasion for a dog|1
opening cards|3
school kids graduation|1
marchers playing drums and bagpipes|1
yoko pno signing w some guy|1
sining happy birthday|1
storage containers|1
kid flame cake fire candle dark parents|1
little kid watching|1
children waving|2
disney characters dancing|1
little girl playing|1
social|3
giving kids treats|1
bike rally|1
taking present out of package|1
girl's birthday|4
strolling|1
men on float|1
indoors|41
boy opens birthday present|1
flag floor drum band men door wall|1
6|1
brick teacher chair students cap vuilding|1
figurines|1
door|7
mascots dancing|2
alcove|1
walking up ramp|1
woman visitor|2
girl laughing|3
people carrying object|1
people sit chatting at a party|1
disney land|1
alice in wondereland|1
science|1
cake party kids table bench girl boy adults|1
mall|9
toddler running|1
kids taking part in a musical production|1
autumn|4
black screen|1
they walk to their parents|1
students being called up|1
dress|13
amateur soccer match|1
father cheering him on|1
kids on a tram|1
matching dresses|1
lit candle|3
awards dinner|1
parade of singers|1
glowing|1
celebratin|1
woman passing out awards and gifts|1
creature|1
plant|5
a man gets a surprise birthday welcome|1
people walking dogs|1
fireworks are released|1
elementary classroom game|1
plane|1
pomp and circumstance playing|1
waves|6
car view|1
peninsula youth|1
happy birthday singing|1
twisting|1
man hugging two girls|1
the truck use the horn|1
patio|3
girl to shy to talk|1
mexican|2
band tree sky hat street building|1
paper|12
signs|10
smiling|72
birthday spanish|1
spectators waving flags|1
motorcycles in street parade|1
making a speech|1
commencement speech|3
cap gown blue red wall tassel|1
magic|1
kids kicking a ball|2
lanters|1
night time christmas parade|1
santa hat|2
band marchers|1
gradution|5
graduate students throwing their hats into the air|1
running and hitting balls|1
people play music in a casual parade|2
student speaking at her graduation|1
lantern|1
cumpleaã±os|1
police man|1
boat parade|5
a second lady translates to english|1
salute|2
firetruck parade|5
pickaxe|1
talking in foreign language|1
orange wig|2
woman walking|1
raindeer float|1
black and white floor|1
castle|10
twogirlssing a naughty version of happy birthday|1
birthday cake candles|1
uniformss|1
glitter|1
he gets a hug|1
children walking in costumes|1
stair railing|1
5 a side|1
cross legged|1
man in costume|1
stairs|28
grace|1
parade floats|22
acrobats|2
sign march truck window lights house building|1
emergency vehicles in the parade with sirens blowing|1
baby food cake chair wall flash floor|1
model car|1
kids street costume hat|1
pajamas|2
2 women standing in front of group of people|1
giant baseball balloons|1
play|34
middle school band|1
graaduation ceremony|1
blackboard|4
loud people sing|1
little dogs take part in a parade|1
girl and a dog|1
booster seat|3
preperation|1
people smiling|2
graduation ceremony with singing and piano playing|1
kindergarden graduation|1
streetlights|1
they sing happy  birthday|1
woman speaks|1
kid opening presents|1
birthday scarf|1
family video|3
giants|1
parade dancing|2
cruiseship|1
banquet hall|1
dark skies|1
dance group|1
preparing|2
banner|72
prabhjot|3
parade at night|9
smle|1
parade march|1
river|6
greetings|2
see|1
sea|3
when you wish|1
knees|1
fan waving arms in air|1
crosswalk|1
monsters|3
compliment|1
ligts|1
disfrases|3
popping balloon|1
7 drawfs dancing|1
kids singing at their graduation|2
motorcycles in parade|2
quad bike|1
motorcycle riders dressed in santa suits|1
mickey mouse float|1
appause|1
costume dresses|1
scottish|2
nightime disney parade|1
pasta on body|1
aerial acrobatics|1
devil|1
acceptance|3
hitting|1
wall ceiling banner kids cap dress door|1
children in a line behind each other|1
fire|16
twirling flags|1
nightime marching band parade|1
announcement stage|1
marching bandin a  parade|1
leaning|1
couple sing badly|1
smiling child|1
woman making faces to camera|1
house street crowd parade window lines horse|1
hand motions|1
players shooting basketball at the basket|1
fancy dress|54
music performance|1
birthday occasin|1
funny|12
barney|2
spider man|1
woman makes speech|1
children do actions as they sing the song|1
little boy at home|1
stage speech|1
snail|10
kids classroom board boy girl|1
basketball team the lakers is going through the streets celebrating championship!|1
kids table balloon party boy girl|1
highchairs|1
grandmas birthday party|1
little kids graduate|2
person|2
pepole|1
opening gits|1
birthday w family|1
parade in  a shopping mall|1
holding a flashlight|1
beats me|1
parents|44
crying|13
baby exploring new toy|1
emergency|6
couple|9
instructors|1
people clapping|15
formal|1
playing guitae|1
chorus|7
playing guitar|8
boy waking up|1
waiters and friend singing happy birthday|1
baby walking along street with adults|1
partying|1
bounce|1
streamers|2
camera's|3
chinese parade float|1
birthday celebration singing|1
birthday party!|3
ursula|3
flying whale|1
names of grads are called out|1
a little girl excited about opening her present|1
birthday cake with lit candle|2
footballs|1
adults instructing children|1
drums playing|1
lady makes a speech|2
traffic cop|1
child speech|2
birthday celebration|54
family surprise party|1
a pirate looks into the camera|1
elementary school|1
people singing happy birthday.|1
santa|15
college graduates|1
gifts|27
whiteboard|3
jungle book|1
hells angels|2
childrens school graduation|7
one person with flag|1
basketball court|5
sightseeing|1
a little girl sits looking bewildered during happy birthday|1
arcade|1
tasting|3
baby open gifts|1
suit|5
decorated floats|1
hawaiian|1
smiling for the camera|1
poster|3
ling|1
line|7
nieces|1
a caravan with the 7 dwarfs snow white quite crowd|1
small gathering of family/friends to celebrate a birthday|1
birhday song|3
soccer practise|2
boy floor wall toys|1
celebration gathering|1
camp|1
supervisor|1
smart car|1
cowboys|1
students party|1
chat|1
firdge|1
graduation announcement|1
swaying arms|1
collecting certificates|1
basquetball|1
cobblestone|3
walking on stage|2
child playing with blow-up toy|2
groups singing|1
man claps|1
pedestrians|2
frisco st|1
niã±os|6
taking picture|2
costumed goldfish carriers|1
dog's birthday|1
food table|1
hello|1
warning lights|1
harvest parade|1
room mickey kids pinata teacher|1
young|7
snail floats|1
group of kids walking|1
girl playing a guitar|1
football match|1
graduation music playing in the background as graduates walk on a football field|1
fire trucks in a parade|1
garden|13
race track with cars moving on it|1
deocoration|1
people making a speech|1
sailors men hat uniform wall group|1
baby boy birthday|1
harbor|1
smiling little girl|1
race|13
playing a game w kids|1
kid running|1
video|10
people sat down on sofa|2
ghost busters|1
spaghetti|3
a young boy trying to blow out candles on his birthday cupcake|1
graduating|28
cancha|1
graduatino|1
post commencement|1
character parade|1
disneyland show|1
indian|3
twins|4
electric parade|6
little girl waving at camera|1
coaching giving orders to team|1
lei|4
school awards|1
person blowing out candle|1
kids opening birthday presents|1
squirming|1
school function|1
great|1
bykes|1
waiting for parade|1
aladdin theme|1
baby holds its own bottle|1
teaching a kid|1
house party|9
child opening birthday presents|1
musical instruments|3
lighted signs|1
elmo on a truck|1
dog eating cake|1
standing|450
event show|1
certificate|17
sparkling candle|1
baseball team|1
someone moving a chairs|1
barney and friends|1
kids playing basketballon court|1
carrying|3
bullhorn|1
baby|291
sports jerseys|1
street processions|1
charity|1
customes|1
balls|2
animals|1
little kid's birthday|1
cake candle flame group boy girl|1
a toddler sitting on the floor of the nursery filled with stuffed animals and a crib|1
drill|2
large tree on float|1
woman wearing party hat|1
standing at attention|1
eric graduates|1
couple sharing a scarf|1
promotional|1
woman taking a photo|1
rollerskates|1
disneys holiday parade|1
football field parade|1
big crowd watching|2
fire engine driving past|1
animal|3
blocks|1
big screen|12
4 kids waiting|1
kid in parachute|1
pigs|7
small children play football.|1
counter|1
lighted caterpillar|1
kids on a bus with an adult going to a parade|1
parde|5
little girl tries to blow out her candle|1
child's performance|1
chuck e cheeses|1
evening entertainment|1
motorcycle|12
graduate procession|2
friends fooling around|1
lamp|2
drumline|1
2015|1
hula hoop people in a parade|1
singing happy birthday|40
coloured lights|3
happy birthday song|18
sailor hat uniform group band wall|1
dock|1
childs graduation|2
kiss|1
holding banner|1
rotation|1
cage|1
kitchen table|1
birthday occasion - kid trying to blow out candle|1
daytime parade featuring dancers|1
cameras flashing|4
glasses|14
tents|3
marching bands|3
receiving certificates|1
books|4
snow white's float|1
10 pin bowling|1
podieum|1
throwing hats|3
birthdy|1
introducing graduates who are top of their class|1
flag parade|2
little children siniging in class|1
match games with children|1
cremony|2
seniors lunch|1
speaking on podium|2
parade street applause crowd|1
repeats|1
motorbikes|20
scarf|13
grads accepting their certs|1
students singing at their graduation|1
prank|1
parade and helicopter flying|2
festival|20
flasing lights|1
percussion|4
decorations|10
parents watch from the side|1
musical band playing|1
pink pig|1
men playing soccer|1
man beats a drum|1
small kids play soccer|1
large theatre hall|1
people waving pennants|1
briefing|1
parade lights night|1
studenst|1
kids singing|12
birthday celebration for patient in hospital|1
brick kids chair door window teacher pavement|1
red jumpers|1
kids recital|1
baby girl dancing|1
people together|1
minnie waving|1
livingroom|1
sign building light tree|1
singing happy birthday to little girl|2
latino|1
balloon popped|1
petals|2
turn tables|1
medal|2
suticase|1
family celebration|6
thanksgiving|1
face|2
kids sitting on garden|1
many people|2
waiting for graduation ceremony to start|1
kid covered in chcolate|1
crowds watching|10
boy wearing glasses sitting on the floor|1
bikes|13
sining birthday party|1
candle lit|2
bedroom|1
police officers|3
police officer|2
prade|1
riding|25
city wall|2
kindergarten  graduation|1
basketball players|2
parent helping her|1
webcast|1
sucking fist|1
baby blowing out candles on birthday cake|1
street sky cloud girls building parade|1
minnie mouse|5
adult video taping|1
friends laughing|1
friends birthday|1
loudmouth woman yelling|1
wire|1
superhero|1
music band|7
astroturf|1
gnomes|1
mini car parade|1
drum|6
little ceasars|1
doorway|3
taking photos|1
feel sick|1
decorated vehicle with lights|1
man conducting a choir|1
whispering|1
birthday celebration for man|1
chalkboard|2
people play music walking down the street|1
basket ball game|2
singing choir|1
school recital|1
toasting|1
laser|1
crowd tree trunk float parade street band|1
yellow caps|1
runway|1
sitting on floor|1
building sky crowd sign rail  man car|1
cat walking|3
flafg podium man table. group girl|1
float of fairy|1
street celebration for la lakers|1
lantern ceremony|2
halloween costume party for young students in a gym|1
gradutaion|2
weird birthday celebration|1
birthday occasion with adults|1
many tables/chairs|1
paralympians|1
curtain balloon chair girls paper speech|1
military drill|1
ball|31
dusk|1
birthday pary|1
bald|5
costume parade tree sky building people|1
man waving|1
singing happy birthday family|1
street show|1
child's first birthday celebration|1
street parade in costumes|1
cake birthday candles kids family|1
red bear|1
baby on couch|1
sky light pole band field people tree|1
cake decoration|1
residential|2
winnie|1
building group students backpack|1
disney theme|1
baby girl looking|1
children graudation|1
parade participants performing a dance for the viewers|1
fairies|1
smiling man|2
whispers|2
desk|5
child making funny faces|1
chairs|83
child talking|1
graduation announcements|1
tree pole light police|1
play ground|1
paragliding|1
big trucks|1
player shoots the ball and misses|1
people carrying banners|1
lumpia|1
ballon|3
valedictorian speech|2
unknown occasion|1
picnic in park\|1
daylight|6
gymnastics|1
girl building rail can pillar|1
transport|2
candle flame people fruit table girl boy table|1
public transport|3
kid plate fork chair man toy candle cake|1
gloworm|1
blurry|2
blowing|44
step people hat gown wall room dress pole|1
graduation song|1
stage|287
mic woman paprt bag dress shirt necklace sign wall|1
sister|2
drumming|9
large graduation ceremony|1
people on roof walking back and forth|1
christmas show|1
birthday party! woot!|1
letters|1
baby boy|1
grandma gives "birthday spanking"|1
pizza & birthday cake|1
mortarboard|1
brass|2
marching on track|1
heavy duty trucks moving along a street|1
function|6
students performing on the stage|1
marching in street|1
holding a banner|1
mickey table chair kids wall|1
kids wall floor chair table cake candle flame|1
home life|1
father and son|1
sing to a baby happy birthday|1
orniments|1
excitement|3
dancing in bar|1
leashes|1
monument|1
irish|1
nurses|12
marchers in space costumes|2
wheelhair|1
balloon pop|1
people stood up|1
house kids tree grass sidewalk|1
boat parades down the street|1
ppl having fun|1
graduates receiving diplomas|1
children line-up parade|1
group performing|1
spectators in the bleachers watching|1
band wearing green|1
video of different hand-made goods|1
kid in chair|1
aetna|1
birthday boy|1
birthday hat|1
party!|1
pparade at night|1
kids graduation|20
tv screen|2
teachers/instructors|1
lecturn|1
bike|8
people sing happy birthday in the dark|1
baby's first birthday celebration|1
group parade|1
blanket|11
gray hair|1
closeup|3
dora the explorer|1
children walking in line|1
a bunch of kids|1
phones|5
stage microphone students cap gown|1
horn|7
preacher|1
truck in parade|2
blow out candles|7
religious|2
white and gold uniforms|1
inflatable toys|1
cutting the cake|2
baby chair window curtain wall paper toy|1
wrapping|1
pluto|1
parade tree branch sky people crowd street boy girl|1
celebration|290
watchers|11
daughter|1
d.a.r.e. black shirts|1
calling names|1
smoke|8
bunker|1
presentation of diplomas/degrees on stage|1
motor cycles|1
ake|1
bikers christmas street parade|1
csli|3
blue gowns|1
graduation video|1
woman making speech|2
www.desplaineshobbies.com|1
band marches on  a race track|1
man holding candle lit cupcake|1
costume party|1
singing happy birtday|1
sweater|3
kid sleeping|1
cartoon animation display|1
birtday|2
award|55
graduates walking up on the stage|1
blowing out a candle|3
kids playing basketball|3
people record someone lighting candles|1
beach soccer|2
getting up|1
presentation|105
work|2
a dignitary making a speech at graduation|1
2 years old|2
asian kid w puppet|1
moving furniture|1
happy birthdat|1
xmas street parade|1
woman makes graduation speech|1
military pass-out celebration|1
happy birthday|110
goofy dancing|1
interview|9
beach|21
pizza|7
bdat|1
bday|42
high school meeting in gymnasium|1
night gathering|1
cell phone|2
orden|1
sitting in circle|1
green|43
ambulance|7
woman holding camera|1
birthday spankings|2
office|4
muffin|4
truck decorated|1
ticket|1
flag hat kids door teacher wall|1
birthday party with cake|1
kindergarden|1
girl tries to blow out candle|1
crowd clapping|20
band|241
marching band|185
fire truck leads a parade|1
halloween at school|1
light display|4
young students singing at an assembly|1
rocks|1
lighting of candles|1
girl door building parents door|1
graduation ceremony for kids|1
people walking in parade|1
cake on the table|1
logo|1
school kids sining|1
ppl hugging|1
cameras|46
light pole|1
man group woman church choir|1
kids graduating in a ceremony|1
two teams play football|1
graduation ceremony of young people|1
a fire truck in a parade with musicians|1
arm feet ground shirt|1
unifrom|1
birthday party at fitness gym|1
waiting for a parade|1
children dressed in costumes|1
light floats disney|1
staning|1
cookies|5
a large dining area|1
outdoor show|1
woman singing|3
teammate takes the ball and scores|1
dogs|33
two girls|2
group photograph|1
dancing on stage|1
baby in high chair|2
automotive|1
catepillar|1
children opening christmas gifts|1
unoforms|1
car race track|1
seated|1
army drills being watched by community|1
children dressed counting songs and one of the girls is crying|1
messy face|1
relight|1
giraffes|2
lights show|1
children football game|3
ornements|1
halloween party|7
baby seat tray table food kids man grass|1
child stood up on table|1
motorcycles driving|1
people sat on seats|1
marching in place|1
nurse graduation|1
forces|1
red and blue cap and gown|1
drill team|3
circles|1
prisoners playing sports|1
exercises|2
baby and candle|1
kids shouting|1
baseketball|1
blowing out|2
alumni|1
army guy|1
senior students at graduation ceremony|1
westies|1
street procession|3
american flag|3
parade people watching|1
black caps/gowns|5
street music|1
candles balloons|1
middle school graduation?|1
bright colours|1
